Id,Time[ns],0:UART: RX/TX
738,2002967000.00000000000000000000,h
739,2003050000.00000000000000000000,r
740,2003134000.00000000000000000000,s
741,2003217000.00000000000000000000,2
742,2003300000.00000000000000000000,7
743,2003383000.00000000000000000000,_
744,2003466000.00000000000000000000,p
745,2003550000.00000000000000000000,h
746,2003633000.00000000000000000000,y
747,2003716000.00000000000000000000,_
748,2003799000.00000000000000000000,s
749,2003882000.00000000000000000000,e
750,2003966000.00000000000000000000,[F4]
751,2004049000.00000000000000000000,u
752,2004132000.00000000000000000000,p
753,2004215000.00000000000000000000, 
754,2004298000.00000000000000000000,A
755,2004382000.00000000000000000000,[D4]
756,2004465000.00000000000000000000,H
757,2004548000.00000000000000000000,R
758,2004631000.00000000000000000000,_
759,2004714000.00000000000000000000,P
760,2004798000.00000000000000000000,[C8]
761,2004881000.00000000000000000000,Y
762,2004964000.00000000000000000000,_
763,2005047000.00000000000000000000,S
764,2005130000.00000000000000000000,P
765,2005214000.00000000000000000000,[C5]
766,2005297000.00000000000000000000,C
767,2005380000.00000000000000000000,_
768,2005463000.00000000000000000000,S
769,2005546000.00000000000000000000,T
770,2005630000.00000000000000000000,[C1]
771,2005713000.00000000000000000000,U
772,2005796000.00000000000000000000,S
773,2005879000.00000000000000000000, 
774,2005962000.00000000000000000000,0
775,2006046000.00000000000000000000,[A0]
776,2006129000.00000000000000000000,:
777,2006212000.00000000000000000000,1
778,2006295000.00000000000000000000,0
779,2006378000.00000000000000000000,[0D]
780,2006462000.00000000000000000000,[8A]
781,2006545000.00000000000000000000,a
782,2006628000.00000000000000000000,t
783,2006711000.00000000000000000000,h
784,2006794000.00000000000000000000,r
785,2006878000.00000000000000000000,[F3]
786,2006961000.00000000000000000000,2
787,2007044000.00000000000000000000,7
788,2007127000.00000000000000000000,_
789,2007210000.00000000000000000000,p
790,2007293000.00000000000000000000,h
791,2007377000.00000000000000000000,y
792,2007460000.00000000000000000000,_
793,2007543000.00000000000000000000,s
794,2007626000.00000000000000000000,e
795,2007709000.00000000000000000000,t
796,2007793000.00000000000000000000,u
797,2007876000.00000000000000000000,p
798,2007959000.00000000000000000000, 
799,2008042000.00000000000000000000,A
800,2008125000.00000000000000000000,T
801,2008209000.00000000000000000000,H
802,2008292000.00000000000000000000,R
803,2008375000.00000000000000000000,_
804,2008458000.00000000000000000000,P
805,2008541000.00000000000000000000,H
806,2008625000.00000000000000000000,Y
807,2008708000.00000000000000000000,_
